Intent,Accuracy,Precision,Recall,F1 Score
Account & Customer Information Management,0.9929506545820745,0.9,0.9230769230769231,0.9113924050632911
After Sales & Service Termination,0.9969788519637462,0.8888888888888888,0.8,0.8421052631578948
Application Usage,0.9939577039274925,0.9183673469387755,0.9574468085106383,0.9375000000000001
Billing,0.9939577039274925,0.9583333333333334,0.92,0.9387755102040817
Business Training and Webinar,0.9959718026183283,0.875,0.9545454545454546,0.9130434782608695
Call Center,0.9869083585095669,0.8421052631578947,0.8205128205128205,0.8311688311688312
Competitors,0.9979859013091642,0.9310344827586207,1.0,0.9642857142857143
Customer ID Number,0.9979859013091642,0.8,0.8,0.8000000000000002
Discount & Referral Incentive,0.9979859013091642,0.8823529411764706,1.0,0.9375
Disturbance Report,0.9919436052366566,0.7741935483870968,0.96,0.8571428571428571
FUP Indibiz,0.9979859013091642,0.9444444444444444,0.9444444444444444,0.9444444444444444
General Business Information,0.9899295065458208,0.7,0.5,0.5833333333333334
IP Services,0.9979859013091642,0.92,1.0,0.9583333333333334
Indibiz Package,0.9707955689828801,0.6470588235294118,0.75,0.6947368421052633
Internet Speed,0.9959718026183283,0.8421052631578947,0.9411764705882353,0.8888888888888888
Irrelevant Question,0.9869083585095669,0.5625,0.6,0.5806451612903225
Modem,0.998992950654582,1.0,0.9230769230769231,0.9600000000000001
New Installation,0.9979859013091642,0.8888888888888888,0.8888888888888888,0.8888888888888888
Number on Application,0.9929506545820745,0.8888888888888888,0.9523809523809523,0.9195402298850575
Optical Distribution Point,1.0,1.0,1.0,1.0
Order & Subscription Information,0.9929506545820745,0.9090909090909091,0.8823529411764706,0.8955223880597014
Others,0.9919436052366566,0.6666666666666666,0.4,0.5
Package Information,0.9909365558912386,0.9433962264150944,0.8928571428571429,0.9174311926605505
Package Migration,0.9949647532729103,0.9166666666666666,0.7333333333333333,0.8148148148148148
Price,0.9939577039274925,0.9333333333333333,0.7368421052631579,0.8235294117647058
Product & Package Differences,0.9969788519637462,0.8181818181818182,0.9,0.8571428571428572
Product Advantages and Disadvantages,0.9929506545820745,0.9375,0.8571428571428571,0.8955223880597014
Product Installation,0.9899295065458208,0.9565217391304348,0.8461538461538461,0.8979591836734695
Product Reseller,0.998992950654582,1.0,0.8333333333333334,0.9090909090909091
Products & Services,0.9627391742195368,0.6571428571428571,0.7796610169491526,0.7131782945736433
Service Availability,0.9969788519637462,1.0,0.9387755102040817,0.968421052631579
Technician Survey,0.998992950654582,1.0,0.9444444444444444,0.9714285714285714
Transaction Number,1.0,1.0,1.0,1.0
Unclear Context,0.9848942598187311,0.8717948717948718,0.7727272727272727,0.8192771084337349
Unclear Words,0.9969788519637462,0.9743589743589743,0.95,0.9620253164556962
Upgrading and Downgrading,0.9939577039274925,0.8666666666666667,0.9285714285714286,0.896551724137931
Vertical Business Education,0.9959718026183283,0.8888888888888888,0.7272727272727273,0.7999999999999999
myIndibiz B2B Products,0.9979859013091642,0.92,1.0,0.9583333333333334
